Frequency_(MHz),VSWR_Test_1,VSWR_Test_2,VSWR_Test_3,VSWR_Test_4,VSWR_Test_5,VSWR_Test_6,VSWR_Test_7,VSWR_Test_8,VSWR_Test_9,VSWR_Test_10,VSWR_Test_11,VSWR_Test_12,VSWR_Test_13,VSWR_Test_14,VSWR_Test_15,VSWR_Test_16,VSWR_Test_17,VSWR_Test_18,VSWR_Test_19
151567.00,1.65,1.65,0.00,0.00,6.32,6.15,1.08,1.04,1.64,1.72,5.47,3.78,5.10,5.72,5.91,2.38,2.74,2.24,1.36
154598.00,1.45,1.45,0.00,0.00,3.11,3.06,1.86,1.80,1.30,1.27,3.36,1.62,3.45,2.76,3.40,1.31,1.47,3.03,1.93
157690.00,1.69,1.69,0.00,0.00,4.86,4.84,2.28,2.27,1.77,1.76,2.21,1.51,2.38,1.85,1.79,1.46,1.28,5.30,3.06
160844.00,1.92,1.92,0.00,0.00,1.34,1.36,4.00,4.00,3.13,3.16,1.23,2.53,1.56,4.05,2.28,1.81,1.99,11.09,4.31
164061.00,1.62,1.62,0.00,0.00,2.91,2.91,4.96,4.98,3.74,3.75,2.12,1.51,2.92,4.61,4.33,3.08,2.75,6.43,2.49
167342.00,1.51,1.51,0.00,0.00,3.18,3.18,3.46,3.43,2.72,2.72,2.27,2.01,3.04,3.51,3.92,3.18,1.29,4.53,1.27
170689.00,1.97,1.98,0.00,0.00,5.08,5.05,4.14,5.05,4.09,4.03,3.78,3.63,2.37,1.81,4.05,4.09,2.01,4.80,3.02
174102.00,1.98,1.98,0.00,0.00,1.90,1.97,4.35,1.97,4.98,5.02,7.14,6.32,5.48,1.47,1.52,6.51,3.86,1.17,6.44
177584.00,1.53,1.54,0.00,0.00,2.27,2.25,2.01,2.25,1.92,1.92,4.24,3.38,4.11,2.61,2.03,4.38,4.41,2.44,4.98
181136.00,1.82,1.82,0.00,0.00,2.83,2.83,2.61,2.83,2.97,2.98,3.43,3.30,2.83,3.06,2.68,4.04,3.98,2.94,4.39
184759.00,2.28,2.28,0.00,0.00,5.64,5.71,7.10,5.71,7.35,7.38,3.76,3.49,3.12,5.92,4.07,7.94,8.24,5.96,9.23
188454.00,1.81,1.81,0.00,0.00,6.11,6.18,6.65,6.18,6.64,6.74,3.74,4.54,4.97,4.98,4.99,6.20,6.65,5.31,7.12
192223.00,1.72,1.72,0.00,0.00,4.14,4.13,4.42,4.13,4.51,4.48,3.70,3.79,4.07,4.10,4.06,4.40,4.43,4.31,4.84
196068.00,2.29,2.29,0.00,0.00,7.33,7.25,7.66,7.25,7.91,7.78,6.74,6.64,7.41,7.15,7.33,7.80,7.64,8.06,8.99
199989.00,2.02,2.03,0.00,0.00,8.09,8.04,7.80,8.04,7.80,7.72,7.13,6.42,7.72,6.14,6.79,7.31,7.11,7.50,8.26
203989.00,1.85,1.86,0.00,0.00,5.31,5.25,5.28,5.25,5.21,5.15,4.90,4.44,5.16,4.35,4.54,4.83,4.83,4.81,5.14
208069.00,2.38,2.39,0.00,0.00,9.23,9.18,9.44,9.18,8.83,8.73,0.00,5.94,8.14,5.85,6.14,7.12,7.06,7.14,7.83
212230.00,2.06,2.06,0.00,0.00,7.44,7.33,7.40,7.33,6.57,6.50,0.00,4.65,0.00,3.34,3.70,4.57,4.58,4.44,4.97
216474.00,2.08,2.08,0.00,0.00,5.72,5.66,5.32,5.66,4.70,4.68,0.00,4.04,0.00,3.61,3.87,3.80,4.07,4.26,4.44
220804.00,2.64,2.66,0.00,0.00,8.62,8.50,8.94,8.50,7.81,7.74,0.00,8.14,0.00,8.07,9.43,8.42,9.25,0.00,10.41
225220.00,2.00,2.01,0.00,0.00,4.50,4.46,4.97,4.46,4.90,4.83,0.00,5.79,0.00,5.12,6.01,5.87,6.29,0.00,6.54
229724.00,2.47,2.47,0.00,0.00,6.65,6.61,6.38,6.61,6.48,6.36,0.00,7.75,0.00,8.08,8.49,6.77,8.45,0.00,9.02
234319.00,2.78,2.79,0.00,0.00,11.86,11.68,11.39,11.68,11.36,11.15,0.00,10.69,0.00,13.70,15.48,7.42,13.83,0.00,14.29
239005.00,2.09,2.09,0.00,0.00,5.35,5.31,6.34,5.31,5.99,5.91,0.00,6.63,0.00,6.12,6.95,5.86,6.51,0.00,6.47
243785.00,2.94,2.94,0.00,0.00,14.30,14.15,13.81,14.15,12.01,11.81,0.00,15.59,0.00,5.88,13.73,12.61,10.58,0.00,10.25
248661.00,2.57,2.57,0.00,0.00,10.88,10.74,8.02,10.74,6.88,6.83,0.00,7.43,0.00,7.97,6.68,8.28,5.25,0.00,6.87
253634.00,2.68,2.67,0.00,0.00,12.96,12.96,5.56,12.96,6.81,6.80,0.00,9.45,0.00,10.73,10.59,9.37,8.21,0.00,4.24
258707.00,3.14,3.13,0.00,0.00,20.77,20.33,5.75,20.33,6.68,6.62,0.00,18.23,0.00,14.62,18.70,9.42,5.42,0.00,7.22
263881.00,2.54,2.54,0.00,0.00,8.95,8.81,4.63,8.81,4.12,4.12,0.00,8.32,0.00,8.09,9.98,6.20,2.85,0.00,4.54
269159.00,3.68,3.67,0.00,0.00,50.35,47.59,9.01,47.59,7.77,7.77,0.00,7.42,0.00,10.09,28.44,17.78,5.37,0.00,4.99
274542.00,2.61,2.61,0.00,0.00,9.56,9.43,5.87,9.43,5.49,5.44,0.00,2.31,0.00,1.88,5.49,6.68,4.82,0.00,3.98
280033.00,3.87,3.86,0.00,0.00,0.00,13.47,15.83,13.47,12.28,12.43,0.00,8.08,0.00,0.00,3.44,7.80,9.75,0.00,7.49
285633.00,3.13,3.13,0.00,0.00,0.00,7.50,10.01,7.50,8.42,8.37,0.00,2.46,0.00,0.00,1.49,1.48,4.55,0.00,5.93
291346.00,4.02,4.01,0.00,0.00,0.00,3.68,16.49,3.68,16.05,16.11,0.00,1.82,0.00,0.00,3.39,3.65,1.69,0.00,4.40
297173.00,3.79,3.79,0.00,0.00,0.00,2.45,1.60,2.45,7.27,7.27,0.00,4.82,0.00,0.00,6.84,7.10,4.97,0.00,6.17
303117.00,4.25,4.24,0.00,0.00,0.00,4.69,4.62,4.69,1.62,1.57,0.00,6.94,0.00,0.00,8.26,4.62,5.21,0.00,4.30
309179.00,4.13,4.12,0.00,0.00,0.00,4.69,5.89,4.69,4.92,4.95,0.00,8.10,0.00,0.00,9.19,6.74,9.12,0.00,5.48
315362.00,5.17,5.14,0.00,0.00,0.00,0.00,5.21,0.00,8.93,8.91,0.00,12.48,0.00,0.00,11.14,11.95,13.46,0.00,10.95
321670.00,4.29,4.29,0.00,0.00,0.00,0.00,8.45,0.00,7.80,7.77,0.00,11.85,0.00,0.00,11.91,11.55,12.17,0.00,11.43
328103.00,6.08,6.08,0.00,0.00,0.00,0.00,13.67,0.00,10.66,10.71,0.00,21.25,0.00,0.00,23.26,22.48,23.35,0.00,23.35
334665.00,4.48,4.47,0.00,0.00,0.00,0.00,12.87,0.00,11.93,11.75,0.00,11.15,0.00,0.00,13.43,13.14,13.65,0.00,11.78
341358.00,6.61,6.58,0.00,0.00,0.00,0.00,36.76,0.00,32.93,32.99,0.00,26.07,0.00,0.00,42.62,29.32,34.57,0.00,30.56
348186.00,4.72,4.70,0.00,0.00,0.00,0.00,13.91,0.00,13.71,13.55,0.00,13.23,0.00,0.00,13.25,13.06,12.13,0.00,11.16
355149.00,6.85,6.82,0.00,0.00,0.00,0.00,64.24,0.00,60.87,58.81,0.00,38.66,0.00,0.00,34.25,58.41,24.71,0.00,17.16
362252.00,5.64,5.61,0.00,0.00,0.00,0.00,21.42,0.00,21.18,20.93,0.00,15.93,0.00,0.00,18.27,17.36,15.36,0.00,15.80
369497.00,6.24,6.24,0.00,0.00,0.00,0.00,35.30,0.00,34.87,34.32,0.00,21.97,0.00,0.00,19.73,28.90,26.20,0.00,20.23
376887.00,7.92,7.89,0.00,0.00,0.00,0.00,85.43,0.00,79.20,84.19,0.00,18.55,0.00,0.00,61.97,68.04,36.40,0.00,25.77
384425.00,5.09,5.05,0.00,0.00,0.00,0.00,15.73,0.00,14.38,14.20,0.00,10.46,0.00,0.00,9.94,10.34,8.01,0.00,7.62
392114.00,9.03,8.96,0.00,0.00,0.00,0.00,83.59,0.00,68.72,75.92,0.00,17.04,0.00,0.00,14.04,10.18,55.90,0.00,25.23
400000.00,6.20,6.26,0.00,0.00,0.00,0.00,19.72,0.00,20.93,20.93,0.00,3.89,0.00,0.00,5.15,5.77,9.89,0.00,5.41
