Frequency_(MHz),VSWR_Test_1,VSWR_Test_1a,VSWR_Test_2,VSWR_Test_3,VSWR_Test_4,VSWR_Test_5,VSWR_Test_6,VSWR_Test_7,VSWR_Test_8,VSWR_Test_9,VSWR_Test_10,VSWR_Test_11,VSWR_Test_12,VSWR_Test_13,VSWR_Test_14,VSWR_Test_15,VSWR_Test_16
33.52,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.16,6.00,5.60,6.02,0.00,0.00
34.46,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.44,6.42,6.05,6.51,0.00,0.00
35.43,0.00,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.04,6.34,6.08,6.56,0.00,0.00
36.43,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.35,6.37,6.17,6.59,0.00,0.00
37.45,0.00,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.25,6.25,5.97,6.62,0.00,0.00
38.50,0.00,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.30,6.03,5.59,6.16,0.00,0.00
39.59,0.00,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.98,5.76,5.51,5.72,0.00,0.00
40.70,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,5.04,4.75,5.00,0.00,0.00
41.84,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.41,5.89,5.01,5.42,0.00,0.00
43.02,0.00,0.00,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.34,6.88,6.36,6.86,0.00,0.00
44.23,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,5.06,5.87,7.46,0.00,0.00
45.47,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.61,7.78,6.96,7.66,0.00,0.00
46.75,0.00,0.00,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.16,6.94,7.41,8.14,0.00,0.00
48.06,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.91,8.01,7.34,8.01,0.00,0.00
49.42,0.00,0.00,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.59,8.59,7.89,8.83,0.00,0.00
50.80,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.19,8.47,8.84,9.82,0.00,0.00
52.23,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,7.87,6.78,8.31,0.00,0.00
53.70,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,7.15,6.40,7.12,0.00,0.00
55.21,0.00,0.00,1.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,6.51,5.10,5.42,0.00,0.00
56.76,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,6.04,4.93,5.18,0.00,0.00
58.36,0.00,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,5.92,3.97,4.19,0.00,0.00
60.00,0.00,0.00,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,5.44,3.18,3.38,0.00,0.00
61.69,0.00,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.36,4.87,6.12,6.54,0.00,0.00
63.42,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,4.82,7.22,7.89,0.00,0.00
